"Id","MSSubClass","LotShape","LandContour","LandSlope","BldgType","HouseStyle","OverallQual","OverallCond","LotFrontage","LotArea","GarageArea","GrLivArea","TotalBsmtSF","SalePrice","Target","Irregular_OHE","Moderately Irregular_OHE","Regular_OHE","Slightly irregular_OHE","Near Flat_OHE","Banked_OHE","Depression_OHE","Hillside_OHE","Gentle slope_OHE","Moderate Slope_OHE","Severe Slope_OHE","Ordinal_OverallQual","Ordinal_OverallCond","MeanEncoding_MSSubClass","MeanEncoding_BldgType","MeanEncoding_HouseStyle","MeanNorm_LotFrontage","MeanNorm_LotArea","MeanNorm_GarageArea","MeanNorm_GrLivArea","MeanNorm_TotalBsmtSF","MeanNorm_SalePrice","Std_LotFrontage","Std_LotArea","Std_GarageArea","Std_GrLivArea","Std_TotalBsmtSF","Std_SalePrice"
1,"2-STORY 1946 & NEWER","Regular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average",65,8450,548,1710,856,208500,0,0,0,1,0,1,0,0,0,1,0,0,7,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,-0.01729437797269323,-0.009660558004121534,0.052905404099928506,0.036649642307811404,-0.03296717709571103,0.03829857535007506,-0.2292931876889067,-0.20707075668205213,0.3508800946869884,0.3702065909721896,-0.45914521849712175,0.34715427018010064
2,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Very Good",80,9600,460,1262,1262,181500,0,0,0,1,0,1,0,0,0,1,0,0,6,8,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.034075485041005396,-0.004285344748378235,-0.009153834263964298,-0.04775126198759176,0.033481268076138396,0.0008037829601292199,0.4517813013821295,-0.0918548989935733,-0.060710210760740256,-0.4823466424740097,0.46630514046588595,0.007285824194667162
3,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average",68,11250,608,1786,920,223500,0,0,0,0,1,1,0,0,0,1,0,0,7,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,-0.007020405369953506,0.0034269177489925843,0.09521852116621905,0.05096765285792444,-0.022492545344483538,0.059129015566711636,-0.09307828987469945,0.07345480986380941,0.6315098484013488,0.5148361573603841,-0.3132614180694555,0.5359700735053414
4,"2-STORY 1945 & OLDER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Average",60,9550,642,1717,756,140000,0,0,0,0,1,1,0,0,0,1,0,0,7,5,0.4,0.48688524590163934,0.49887640449438203,-0.03441766564392611,-0.004519049672540987,0.11919595417045037,0.03796840643742708,-0.04933378920700399,-0.05682710163923198,-0.4563180173792521,-0.09686428411046367,0.790533375506153,0.38352773524478645,-0.6870886566653502,-0.5151045650051658
5,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average",84,14260,836,2198,1145,250000,1,0,0,0,1,1,0,0,0,1,0,0,8,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,0.0477741151779917,0.017495954183590262,0.25600836601812316,0.12858634162958985,0.014332331905925628,0.09592945994943626,0.6334011651344058,0.3750197939006106,1.6979029125159184,1.298880648833228,0.1996113178090586,0.8695446593799336
6,"1-1/2 STORY FINISHED ALL AGES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Average","Average",85,14115,480,1362,796,143000,1,0,0,0,1,1,0,0,0,1,0,0,5,5,0.5,0.48688524590163934,0.525974025974026,0.05119877271223827,0.01681820990351828,0.004950538091465885,-0.028911774421653554,-0.04278714436248681,-0.052661013595904665,0.6788061310724749,0.36049257706162846,0.032833040477379886,-0.29204458143691164,-0.5959112813980588,-0.4773414043401176
7,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Very Good","Average",75,10084,636,1694,1686,307000,1,0,0,1,0,1,0,0,0,1,0,0,8,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.01695219736977252,-0.002023081082482795,0.11496464246382132,0.03363532429726129,0.10287570342802055,0.17508513277265525,0.22475647169178412,-0.04336405106207437,0.762470400134717,0.3397582612062539,1.4327853182991748,1.5870447120158486
8,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Good","Above Average",70.04995836802665,10382,484,2090,1107,200000,1,0,0,0,1,1,0,0,0,1,0,0,7,6,0.5117056856187291,0.48688524590163934,0.49887640449438203,7.786769706960002e-16,-0.0006301997344727921,0.007771412562551922,0.10823969505837659,0.008113019303634303,0.026494659227314334,1.0323893988713526e-14,-0.013508115765407676,0.05154169072500391,1.0933544229131622,0.11299281130513177,0.2401586482957975
9,"1-1/2 STORY FINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level finished","Good","Average",51,6120,468,1774,952,129900,0,0,0,1,0,1,0,0,0,1,0,0,7,5,0.5,0.48688524590163934,0.525974025974026,-0.06523958345214528,-0.020551207470105783,-0.0035120853217922247,0.04870691435001186,-0.01725522946886979,-0.07085293138510061,-0.8649627108218738,-0.44050810312914407,-0.023292910265492198,0.49199991003593235,-0.24031951785562242,-0.6422405392441612
10,"2 FAMILY CONVERSION - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Two-family Conversion; originally built as one-family dwelling","One and one-half story: 2nd level unfinished","Average","Above Average",50,7420,205,1077,991,118000,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0.5,0.5161290322580645,0.2857142857142857,-0.06866424098639186,-0.014474879441874228,-0.18898458179569913,-0.08260431398457745,-0.010872250745465533,-0.08737841395696563,-0.9103676767599429,-0.31026409008999406,-1.2533866640467721,-0.8344054553926411,-0.1514215769700133,-0.7920344098821857
11,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average",70,11200,384,1040,1040,129500,0,0,0,1,0,1,0,0,0,1,0,0,5,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.00017109030146035523,0.0031932128248298324,-0.06275044921459899,-0.08957492438397457,-0.002852610810931982,-0.07140840979087759,-0.0022683579985612887,0.06844542474691902,-0.4161745654655968,-0.9048172179763674,-0.03972929226758133,-0.6472756273328344
12,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Excellent","Average",85,11924,736,2324,1175,345000,0,0,0,0,1,1,0,0,0,1,0,0,9,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,0.05119877271223827,0.006577260126706483,0.18548650424097224,0.152324095962672,0.019242315539313517,0.2278555813214679,0.6788061310724749,0.14098132123949178,1.2301866563253177,1.5386612457399718,0.26799434925952714,2.065378080439792
13,"1-STORY 1946 & NEWER ALL STYLES","Moderately Irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",70.04995836802665,12968,352,912,912,144000,0,0,1,0,0,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,0.011457018943224748,-0.08531744498328729,-0.11368946846837548,-0.023801874313386973,-0.05127231758146222,1.0323893988713526e-14,0.24557728248016303,-0.565843767446589,-1.148403856103853,-0.3314968931229138,-0.4647536841184349
14,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Good","Average",91,10652,840,1494,1494,279500,0,0,0,0,1,1,0,0,0,1,0,0,7,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,0.07174671791771772,0.0006318068560060693,0.2588292404892092,-0.00404365083461512,0.07145180817433806,0.1368959923754882,0.9512359267008894,0.013542563865800402,1.7166115627635423,-0.04084586086794221,0.995133917016176,1.240882405919574
15,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Average",70.04995836802665,10920,352,1253,1253,157000,0,0,0,0,1,1,0,0,0,1,0,0,6,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,0.0018844652495184206,-0.08531744498328729,-0.0494468158685262,0.03200827298612203,-0.033219269393710525,1.0323893988713526e-14,0.04039286809233286,-0.565843767446589,-0.49947382796734857,0.4457902310307454,-0.30111332123655954
16,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Good","Very Good",51,6120,576,854,832,132000,0,0,0,1,0,1,0,0,0,1,0,0,7,8,0.3333333333333333,0.48688524590163934,0.2857142857142857,-0.06523958345214528,-0.020551207470105783,0.07265152539753077,-0.12461637125661965,-0.03689516400242134,-0.06793666975477149,-0.8649627108218738,-0.44050810312914407,0.48184064642035657,-1.2587790515053698,-0.5138516436574966,-0.6158063267786276
17,"1-STORY 1946 & NEWER ALL STYLES","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Above Average","Good",70.04995836802665,11241,480,1004,1004,149000,1,0,0,0,1,1,0,0,0,1,0,0,6,7,0.4906716417910448,0.48688524590163934,0.4889807162534435,7.786769706960002e-16,0.0033848508626432893,0.004950538091465885,-0.09635713990771233,-0.008744591170997448,-0.044328837509250034,1.0323893988713526e-14,0.07255312054276913,0.032833040477379886,-0.9733259599497227,-0.12178893000814359,-0.4018150830100213
18,"DUPLEX - ALL STYLES AND AGES","Regular","Near Flat/Level","Gentle slope","Duplex","One story","Below Average","Average",72,10791,516,1296,0,90000,0,0,0,1,0,1,0,0,0,1,0,0,3,5,0.4230769230769231,0.4230769230769231,0.4889807162534435,0.006678224767032796,0.0012815065451785201,0.030338408331240217,-0.04134583621517277,-0.1730653767683788,-0.1262619023613539,0.08854157387757687,0.02746865449075567,0.20121089270599612,-0.41764394172139635,-2.4103410492171577,-1.1444905760893018
19,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Average",66,13695,576,1114,1114,159000,1,0,0,1,0,1,0,0,0,1,0,0,5,5,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.013869720438446656,0.014855088540551164,0.07265152539753077,-0.0756337035851803,0.009258682151424811,-0.030441877364825648,-0.1838882217508376,0.3184137420797492,0.48184064642035657,-0.7639936928089148,0.12894885197690775,-0.2759378807931941
20,"1-STORY 1946 & NEWER ALL STYLES","Regular","Near Flat/Level","Gentle slope","Single-family Detached","One story","Average","Above Average",70,7560,294,1339,1029,139000,0,0,0,1,0,1,0,0,0,1,0,0,5,6,0.4906716417910448,0.48688524590163934,0.4889807162534435,-0.00017109030146035523,-0.013820505654218522,-0.12622012481403483,-0.03324485656181934,-0.004652938143174208,-0.05821579765367442,-0.0022683579985612887,-0.296237811762701,-0.8371191960371374,-0.3358140554754442,-0.06480307046608647,-0.5276922852268485
21,"2-STORY 1946 & NEWER","Slightly irregular","Near Flat/Level","Gentle slope","Single-family Detached","Two story","Very Good","Average",101,14215,853,2376,1158,325300,0,0,0,0,1,1,0,0,0,1,0,0,8,5,0.5117056856187291,0.48688524590163934,0.49887640449438203,0.10599329326018347,0.017285619751843784,0.2679970825202388,0.16212062949695985,0.016459991480393715,0.20049826983695188,1.4052855860815803,0.37051134729540924,1.7774146760683205,1.6376183174792627,0.22924396477092832,1.8173999920726425
22,"1-1/2 STORY - UNFINISHED ALL AGES","Regular","Banked - Quick and significant rise from street grade to building","Gentle slope","Single-family Detached","One and one-half story: 2nd level unfinished","Good","Good",57,7449,280,1108,637,139400,0,0,0,1,0,0,1,0,0,1,0,0,7,7,0.3333333333333333,0.48688524590163934,0.2857142857142857,-0.04469163824666583,-0.01433933058585983,-0.13609318546283594,-0.0767640728391366,-0.06881005761944262,-0.05766031924789744,-0.5925329151934593,-0.30735864672219765,-0.9025994719038215,-0.7754118164711408,-0.9583413480855422,-0.5226571971381754
